"","class","reference","method","size","set","precision","recall","f1","accuracy"
"662","B cell","PBMC10x","ItClust",1000,10,0.960291438979964,0.988376452943382,0.974131559497413,0.988376452943382
"663","B cell","PBMC10x","ItClust",1000,11,0.972365512159175,0.989501312335958,0.980858576472775,0.989501312335958
"664","B cell","PBMC10x","ItClust",1000,12,0.962773722627737,0.989126359205099,0.975772147216571,0.989126359205099
"665","B cell","PBMC10x","ItClust",1000,13,0.949766774309293,0.992500937382827,0.970663733039971,0.992500937382827
"666","B cell","PBMC10x","ItClust",1000,14,0.960101559666304,0.992500937382827,0.976032448377581,0.992500937382827
"667","B cell","PBMC10x","ItClust",1000,15,0.974917004795279,0.991001124859393,0.982893268873187,0.991001124859393
"668","B cell","PBMC10x","ItClust",1000,16,0.962596259625963,0.984251968503937,0.973303670745273,0.984251968503937
"669","B cell","PBMC10x","ItClust",1000,17,0.963570127504554,0.99175103112111,0.977457501847746,0.99175103112111
"670","B cell","PBMC10x","ItClust",1000,18,0.954234234234234,0.992875890513686,0.973171628077913,0.992875890513686
"671","B cell","PBMC10x","ItClust",1000,19,0.954922466642625,0.992875890513686,0.973529411764706,0.992875890513686
"672","B cell","PBMC10x","ItClust",1000,2,0.957292797683677,0.99175103112111,0.974217311233886,0.99175103112111
"673","B cell","PBMC10x","ItClust",1000,20,0.971312982714233,0.990251218597675,0.980690679539547,0.990251218597675
"674","B cell","PBMC10x","ItClust",1000,3,0.97741577193632,0.989876265466817,0.983606557377049,0.989876265466817
"675","B cell","PBMC10x","ItClust",1000,4,0.979584261321455,0.989501312335958,0.984517813840701,0.989501312335958
"676","B cell","PBMC10x","ItClust",1000,5,0.957369942196532,0.993625796775403,0.975160993560258,0.993625796775403
"677","B cell","PBMC10x","ItClust",1000,6,0.975294985250737,0.99175103112111,0.983454173638223,0.99175103112111
"678","B cell","PBMC10x","ItClust",1000,7,0.977138643067847,0.993625796775403,0.985313255251905,0.993625796775403
"679","B cell","PBMC10x","ItClust",1000,8,0.970425138632163,0.984251968503937,0.97728965003723,0.984251968503937
"680","B cell","PBMC10x","ItClust",1000,9,0.964650145772595,0.992500937382827,0.978377379412308,0.992500937382827
"681","B cell","PBMC10x","ItClust",1500,1,0.970599044468945,0.990251218597675,0.980326651818857,0.990251218597675
"682","B cell","PBMC10x","ItClust",1500,10,0.959533357637623,0.986876640419947,0.973012939001848,0.986876640419947
"683","B cell","PBMC10x","ItClust",1500,11,0.95508873596523,0.988751406074241,0.971628592483419,0.988751406074241
"684","B cell","PBMC10x","ItClust",1500,12,0.95679012345679,0.988001499812523,0.972145360634569,0.988001499812523
"685","B cell","PBMC10x","ItClust",1500,13,0.980719317760475,0.99175103112111,0.9862043251305,0.99175103112111
"686","B cell","PBMC10x","ItClust",1500,14,0.959868661072601,0.986501687289089,0.973002958579882,0.986501687289089
"687","B cell","PBMC10x","ItClust",1500,15,0.959405581732512,0.992500937382827,0.975672687062293,0.992500937382827
"688","B cell","PBMC10x","ItClust",1500,16,0.982752155980502,0.982752155980502,0.982752155980502,0.982752155980502
"689","B cell","PBMC10x","ItClust",1500,17,0.985600606290261,0.97525309336333,0.98039954768187,0.97525309336333
"690","B cell","PBMC10x","ItClust",1500,18,0.963396778916545,0.986876640419947,0.974995369512873,0.986876640419947
"691","B cell","PBMC10x","ItClust",1500,19,0.969797421731123,0.987251593550806,0.978446674098848,0.987251593550806
"692","B cell","PBMC10x","ItClust",1500,2,0.960698689956332,0.989876265466817,0.975069252077562,0.989876265466817
"693","B cell","PBMC10x","ItClust",1500,20,0.956031976744186,0.986501687289089,0.971027864919727,0.986501687289089
"694","B cell","PBMC10x","ItClust",1500,3,0.961313868613139,0.987626546681665,0.974292583687812,0.987626546681665
"695","B cell","PBMC10x","ItClust",1500,4,0.981599699586932,0.980127484064492,0.980863039399625,0.980127484064492
"696","B cell","PBMC10x","ItClust",1500,5,0.983208955223881,0.988001499812523,0.98559940153357,0.988001499812523
"697","B cell","PBMC10x","ItClust",1500,6,0.949622166246851,0.989501312335958,0.969151670951157,0.989501312335958
"698","B cell","PBMC10x","ItClust",1500,7,0.965592972181552,0.989126359205099,0.977218003333951,0.989126359205099
"699","B cell","PBMC10x","ItClust",1500,8,0.965099191770757,0.985001874765654,0.974948970124327,0.985001874765654
"700","B cell","PBMC10x","ItClust",1500,9,0.958530374681702,0.988001499812523,0.973042836041359,0.988001499812523
"701","B cell","PBMC10x","ItClust",2000,1,0.978422619047619,0.98612673415823,0.982259570494865,0.98612673415823
"702","B cell","PBMC10x","ItClust",2000,10,0.969361387966039,0.984626921634796,0.976934523809524,0.984626921634796
"703","B cell","PBMC10x","ItClust",2000,11,0.967298402081011,0.976002999625047,0.971631205673759,0.976002999625047
"704","B cell","PBMC10x","ItClust",2000,12,0.957142857142857,0.979752530933633,0.968315730961645,0.979752530933633
"705","B cell","PBMC10x","ItClust",2000,13,0.964627855563744,0.981627296587926,0.973053335811187,0.981627296587926
"706","B cell","PBMC10x","ItClust",2000,14,0.965377532228361,0.982752155980502,0.973987365291713,0.982752155980502
"707","B cell","PBMC10x","ItClust",2000,15,0.976787719955073,0.978252718410199,0.977519670288498,0.978252718410199
"708","B cell","PBMC10x","ItClust",2000,16,0.964311994113319,0.982752155980502,0.973444753946147,0.982752155980502
"709","B cell","PBMC10x","ItClust",2000,17,0.966139124033861,0.984251968503937,0.975111441307578,0.984251968503937
"710","B cell","PBMC10x","ItClust",2000,18,0.983508245877061,0.983877015373078,0.98369259606373,0.983877015373078
"711","B cell","PBMC10x","ItClust",2000,19,0.96789667896679,0.98350206224222,0.975636972289381,0.98350206224222
"712","B cell","PBMC10x","ItClust",2000,2,0.966114180478821,0.98350206224222,0.974730583426236,0.98350206224222
"713","B cell","PBMC10x","ItClust",2000,20,0.965479250826294,0.985751781027372,0.975510204081633,0.985751781027372
"714","B cell","PBMC10x","ItClust",2000,3,0.984281437125748,0.98612673415823,0.985203221577074,0.98612673415823
"715","B cell","PBMC10x","ItClust",2000,4,0.966395864106352,0.981252343457068,0.973767441860465,0.981252343457068
"716","B cell","PBMC10x","ItClust",2000,5,0.963784183296378,0.97787776527934,0.970779825051182,0.97787776527934
"717","B cell","PBMC10x","ItClust",2000,6,0.965963743988161,0.979002624671916,0.97243947858473,0.979002624671916
"718","B cell","PBMC10x","ItClust",2000,7,0.965034965034965,0.983127109111361,0.973997028231798,0.983127109111361
"719","B cell","PBMC10x","ItClust",2000,8,0.986100676183321,0.984251968503937,0.985175455057234,0.984251968503937
"720","B cell","PBMC10x","ItClust",2000,9,0.965086365306872,0.984626921634796,0.974758723088344,0.984626921634796
"721","B cell","PBMC10x","ItClust",250,1,0.978912319644839,0.992125984251969,0.985474860335195,0.992125984251969
"722","B cell","PBMC10x","ItClust",250,10,0.981797919762258,0.991001124859393,0.98637805560739,0.991001124859393
"723","B cell","PBMC10x","ItClust",250,11,0.983612662942272,0.990251218597675,0.986920777279522,0.990251218597675
"724","B cell","PBMC10x","ItClust",250,12,0.983258928571429,0.991001124859393,0.987114845938375,0.991001124859393
"725","B cell","PBMC10x","ItClust",250,13,0.982534373838722,0.991376077990251,0.986935423665547,0.991376077990251
"726","B cell","PBMC10x","ItClust",250,14,0.980719317760475,0.99175103112111,0.9862043251305,0.99175103112111
"727","B cell","PBMC10x","ItClust",250,15,0.981062012625325,0.990626171728534,0.985820895522388,0.990626171728534
"728","B cell","PBMC10x","ItClust",250,16,0.982886904761905,0.990626171728534,0.986741363211951,0.990626171728534
"729","B cell","PBMC10x","ItClust",250,17,0.98181143281366,0.99175103112111,0.986756202201082,0.99175103112111
"730","B cell","PBMC10x","ItClust",250,18,0.98216276477146,0.991001124859393,0.986562150055991,0.991001124859393
"731","B cell","PBMC10x","ItClust",250,19,0.984718598583675,0.990626171728534,0.987663551401869,0.990626171728534
"732","B cell","PBMC10x","ItClust",250,2,0.982553823311062,0.992500937382827,0.987502331654542,0.992500937382827
"733","B cell","PBMC10x","ItClust",250,20,0.981097108969607,0.992500937382827,0.986766076421249,0.992500937382827
"734","B cell","PBMC10x","ItClust",250,3,0.982534373838722,0.991376077990251,0.986935423665547,0.991376077990251
"735","B cell","PBMC10x","ItClust",250,4,0.985074626865672,0.989876265466817,0.987469609126613,0.989876265466817
"736","B cell","PBMC10x","ItClust",250,5,0.980007404664939,0.992500937382827,0.986214605067064,0.992500937382827
"737","B cell","PBMC10x","ItClust",250,6,0.982488822652757,0.988751406074241,0.985610166324052,0.988751406074241
"738","B cell","PBMC10x","ItClust",250,7,0.981440237564959,0.991376077990251,0.986383137474352,0.991376077990251
"739","B cell","PBMC10x","ItClust",250,8,0.981076066790353,0.991376077990251,0.986199179410668,0.991376077990251
"740","B cell","PBMC10x","ItClust",250,9,0.981391886862672,0.988751406074241,0.985057900635039,0.988751406074241
"741","B cell","PBMC10x","ItClust",3000,1,0.978991596638655,0.961004874390701,0.969914853358562,0.961004874390701
"742","B cell","PBMC10x","ItClust",3000,10,0.970048670909772,0.971503562054743,0.970775571375047,0.971503562054743
"743","B cell","PBMC10x","ItClust",3000,11,0.966904851447913,0.96400449943757,0.965452497183627,0.96400449943757
"744","B cell","PBMC10x","ItClust",3000,12,0.983415001884659,0.978252718410199,0.980827067669173,0.978252718410199
"745","B cell","PBMC10x","ItClust",3000,13,0.966516177577126,0.963254593175853,0.964882629107981,0.963254593175853
"746","B cell","PBMC10x","ItClust",3000,14,0.965904833270888,0.966629171353581,0.966266866566717,0.966629171353581
"747","B cell","PBMC10x","ItClust",3000,15,0.963886820551005,0.970753655793026,0.967308051559873,0.970753655793026
"748","B cell","PBMC10x","ItClust",3000,16,0.971096096096096,0.970003749531309,0.970549615456762,0.970003749531309
"749","B cell","PBMC10x","ItClust",3000,17,0.962264150943396,0.97525309336333,0.968715083798883,0.97525309336333
"750","B cell","PBMC10x","ItClust",3000,18,0.966741405082212,0.970003749531309,0.968369829683698,0.970003749531309
"751","B cell","PBMC10x","ItClust",3000,19,0.967004124484439,0.967004124484439,0.967004124484439,0.967004124484439
"752","B cell","PBMC10x","ItClust",3000,2,0.968820435762584,0.967004124484439,0.967911428035279,0.967004124484439
"753","B cell","PBMC10x","ItClust",3000,20,0.967041198501873,0.968128983877015,0.967584785459996,0.968128983877015
"754","B cell","PBMC10x","ItClust",3000,3,0.964912280701754,0.969253843269591,0.967078189300412,0.969253843269591
"755","B cell","PBMC10x","ItClust",3000,4,0.966178128523112,0.96400449943757,0.96509009009009,0.96400449943757
"756","B cell","PBMC10x","ItClust",3000,5,0.968188622754491,0.970003749531309,0.969095336205282,0.970003749531309
"757","B cell","PBMC10x","ItClust",3000,6,0.972117558402411,0.967379077615298,0.969742529599699,0.967379077615298
"758","B cell","PBMC10x","ItClust",3000,7,0.966266866566717,0.966629171353581,0.966447985004686,0.966629171353581
"759","B cell","PBMC10x","ItClust",3000,8,0.971825694966191,0.970003749531309,0.970913867517358,0.970003749531309
"760","B cell","PBMC10x","ItClust",3000,9,0.966480446927374,0.973003374578178,0.969730941704036,0.973003374578178
"761","B cell","PBMC10x","ItClust",38,1,0.985398727068514,0.986876640419947,0.98613713001124,0.986876640419947
"762","B cell","PBMC10x","ItClust",38,10,0.985371342835709,0.985001874765654,0.985186574160885,0.985001874765654
"763","B cell","PBMC10x","ItClust",38,11,0.977323008849557,0.662542182227222,0.789720670391061,0.662542182227222
"764","B cell","PBMC10x","ItClust",38,12,0.982513216754778,0.905886764154481,0.942645337495123,0.905886764154481
"765","B cell","PBMC10x","ItClust",38,13,0.986436498150432,0.899887514060742,0.941176470588235,0.899887514060742
"766","B cell","PBMC10x","ItClust",38,14,0.985719952399841,0.931758530183727,0.957979953739399,0.931758530183727
"767","B cell","PBMC10x","ItClust",38,15,0.985652173913043,0.850018747656543,0.912824642641434,0.850018747656543
"768","B cell","PBMC10x","ItClust",38,16,0.98430066603235,0.775778027746532,0.867687146152233,0.775778027746532
"769","B cell","PBMC10x","ItClust",38,17,0.988640814727771,0.946381702287214,0.967049808429119,0.946381702287214
"770","B cell","PBMC10x","ItClust",38,18,0.983718288527073,0.974128233970754,0.978899773926149,0.974128233970754
"771","B cell","PBMC10x","ItClust",38,19,0.978585657370518,0.736782902137233,0.840641711229947,0.736782902137233
"772","B cell","PBMC10x","ItClust",38,2,0.98280309544282,0.857142857142857,0.915681954736631,0.857142857142857
"773","B cell","PBMC10x","ItClust",38,20,0.983545250560957,0.98612673415823,0.984834300692754,0.98612673415823
"774","B cell","PBMC10x","ItClust",38,3,0.987732489117531,0.935883014623172,0.961108971890643,0.935883014623172
"775","B cell","PBMC10x","ItClust",38,4,0.985111662531017,0.893138357705287,0.936873156342183,0.893138357705287
"776","B cell","PBMC10x","ItClust",38,5,0.983089064261556,0.980877390326209,0.981981981981982,0.980877390326209
"777","B cell","PBMC10x","ItClust",38,6,0.983540746688077,0.918635170603675,0.949980612640558,0.918635170603675
"778","B cell","PBMC10x","ItClust",38,7,0.981094919259551,0.934008248968879,0.956972723780254,0.934008248968879
"779","B cell","PBMC10x","ItClust",38,8,0.983678343949045,0.926509186351706,0.954238269936281,0.926509186351706
"780","B cell","PBMC10x","ItClust",38,9,0.992217898832685,0.956130483689539,0.973839984724079,0.956130483689539
"781","B cell","PBMC10x","ItClust",500,1,0.983973164368245,0.989876265466817,0.986915887850467,0.989876265466817
"782","B cell","PBMC10x","ItClust",500,10,0.982925018559762,0.992875890513686,0.987875396381272,0.992875890513686
"783","B cell","PBMC10x","ItClust",500,11,0.986896293523025,0.988376452943382,0.987635818658674,0.988376452943382
"784","B cell","PBMC10x","ItClust",500,12,0.987960872836719,0.984626921634796,0.986291079812207,0.984626921634796
"785","B cell","PBMC10x","ItClust",500,13,0.983258928571429,0.991001124859393,0.987114845938375,0.991001124859393
"786","B cell","PBMC10x","ItClust",500,14,0.985783763561541,0.988001499812523,0.98689138576779,0.988001499812523
"787","B cell","PBMC10x","ItClust",500,15,0.982899628252788,0.991376077990251,0.987119656524174,0.991376077990251
"788","B cell","PBMC10x","ItClust",500,16,0.983997022701898,0.991376077990251,0.987672768023907,0.991376077990251
"789","B cell","PBMC10x","ItClust",500,17,0.98509131569139,0.991001124859393,0.98803738317757,0.991001124859393
"790","B cell","PBMC10x","ItClust",500,18,0.981447124304267,0.99175103112111,0.986572174561731,0.99175103112111
"791","B cell","PBMC10x","ItClust",500,19,0.980363097443498,0.992125984251969,0.986209467014536,0.992125984251969
"792","B cell","PBMC10x","ItClust",500,2,0.983991064780342,0.991001124859393,0.98748365402578,0.991001124859393
"793","B cell","PBMC10x","ItClust",500,20,0.984718598583675,0.990626171728534,0.987663551401869,0.990626171728534
"794","B cell","PBMC10x","ItClust",500,3,0.983649201040505,0.992500937382827,0.988055244494214,0.992500937382827
"795","B cell","PBMC10x","ItClust",500,4,0.986861861861862,0.985751781027372,0.98630650909773,0.985751781027372
"796","B cell","PBMC10x","ItClust",500,5,0.9865571321882,0.990626171728534,0.988587464920486,0.990626171728534
"797","B cell","PBMC10x","ItClust",500,6,0.98434588147596,0.990251218597675,0.987289719626168,0.990251218597675
"798","B cell","PBMC10x","ItClust",500,7,0.983271375464684,0.99175103112111,0.987492999813328,0.99175103112111
"799","B cell","PBMC10x","ItClust",500,8,0.98184512782512,0.993625796775403,0.987700335445397,0.993625796775403
"800","B cell","PBMC10x","ItClust",500,9,0.981804678796881,0.991376077990251,0.986567164179105,0.991376077990251
"801","Cytotoxic T cell","PBMC10x","CellID",100,1,0.62799690641918,0.358182620202911,0.456179775280899,0.358182620202911
"802","Cytotoxic T cell","PBMC10x","CellID",100,10,0.539912005028284,0.378914865460962,0.44530844997408,0.378914865460962
"803","Cytotoxic T cell","PBMC10x","CellID",100,11,0.631166797180893,0.355535950595501,0.454853273137697,0.355535950595501
"804","Cytotoxic T cell","PBMC10x","CellID",100,12,0.704149933065596,0.232024702249669,0.349037823490378,0.232024702249669
"805","Cytotoxic T cell","PBMC10x","CellID",100,13,0.514606741573034,0.404058226731363,0.452680998270324,0.404058226731363
"806","Cytotoxic T cell","PBMC10x","CellID",100,14,0.780364372469636,0.340097044552272,0.473732718894009,0.340097044552272
"807","Cytotoxic T cell","PBMC10x","CellID",100,15,0.599348534201954,0.243493603881782,0.346298619824341,0.243493603881782
"808","Cytotoxic T cell","PBMC10x","CellID",100,16,0.611666666666667,0.161887957653286,0.256016742239275,0.161887957653286
"809","Cytotoxic T cell","PBMC10x","CellID",100,17,0.614927905004241,0.319805910895457,0.420777713290772,0.319805910895457
"810","Cytotoxic T cell","PBMC10x","CellID",100,18,0.675893886966551,0.258491398323776,0.373962986598596,0.258491398323776
"811","Cytotoxic T cell","PBMC10x","CellID",100,19,0.602803738317757,0.227613586237318,0.33045148895293,0.227613586237318
"812","Cytotoxic T cell","PBMC10x","CellID",100,2,0.508433734939759,0.279223643581826,0.360478359908884,0.279223643581826
"813","Cytotoxic T cell","PBMC10x","CellID",100,20,0.554662379421222,0.304367004852228,0.393050412987753,0.304367004852228
"814","Cytotoxic T cell","PBMC10x","CellID",100,3,0.498353457738749,0.200264666960741,0.285714285714286,0.200264666960741
"815","Cytotoxic T cell","PBMC10x","CellID",100,4,0.450463292943692,0.278782531980591,0.34441416893733,0.278782531980591
